request_id,timestamp,team,user_id,provider,model_or_tool,usage_type,input_tokens,output_tokens,cost_usd,monthly_budget
6bb4e1ad-8fb0-4d63-884a-e63203a40c42,2026-02-18 09:30:00,Product,pro_002,Anthropic,Claude Sonnet 4.6,code-gen,725906,355357,7.3832,4000
1e632caf-f6b3-498e-b7a7-08bb1892a368,2026-02-18 13:30:00,HR,hr_003,Mistral,Mistral 3 3B,chat,21472,460,0.0013,600
e9949376-24f9-4855-9c30-11b1ac4eccfc,2026-02-19 09:34:00,Support,sup_009,Mistral,Mistral 3 3B,search,1233,305,0.0001,800
fc9586ba-9d52-4bc9-b20d-82a10191c82e,2026-02-19 10:03:00,Marketing,mar_001,OpenAI,o4-mini,summarization,16262,1902,0.0258,3500
b4c0160f-57b1-4a4e-a3ec-b23a65125e30,2026-02-21 13:11:00,Marketing,mar_001,OpenAI,GPT-5.3 Instant,chat,1523,886,0.01,3500
25a78da8-8c21-4d1d-b2ce-c469070c1712,2026-02-23 15:07:00,Product,pro_003,Meta,Llama 4 Behemoth,analysis,4698155,778171,15.3618,4000
3e8621ab-644a-479e-8c1b-64cf0efc0f59,2026-02-24 09:45:00,Support,sup_010,Anthropic,Claude Haiku,search,628,78,0.0008,800
6c4f3706-9614-4d39-a397-daf17bc64864,2026-02-24 10:44:00,Product,pro_012,Google,Gemini 3 Pro,chat,5220,2876,0.0411,4000
eb886887-6987-43af-b2d9-f3eca8ebdc97,2026-02-24 10:51:00,Engineering,eng_018,OpenAI,GPT-5 mini,analysis,80000,1783,0.0343,5500
787f2a67-d55e-4bf7-83df-56954f2f73a0,2026-02-25 10:00:00,Support,sup_016,Anthropic,Claude Haiku,chat,805,785,0.0037,800
51ae63fe-53bc-4d97-81f8-4007896ebeec,2026-02-25 11:10:00,Support,sup_005,OpenAI,GPT-5.5,chat,4386,282,0.0813,800
e93863a8-fb50-4002-92ec-76a66c212acc,2026-02-25 11:16:00,Product,pro_010,Anthropic,Claude Opus 4.6,analysis,2327024,183082,38.2619,4000
a91f703f-fdbe-4979-850e-e0f27037c8cd,2026-02-25 12:11:00,Sales,sal_014,Meta,Llama 4 Maverick,analysis,5340,6836,0.0161,1800
08ddda4d-277c-4104-b740-6e32f4fe7fe6,2026-02-25 16:40:00,Engineering,eng_005,Mistral,Mistral 3 3B,code-gen,19343,40000,0.0082,5500
5d97b591-aa1e-4034-bfaa-0b05035ed877,2026-02-26 17:09:00,Sales,sal_010,Amazon,Nova 2,completion,1684,1049,0.0046,1800
e84559c6-d144-42cf-b549-315762974d79,2026-02-26 18:24:00,Finance,fin_001,Anthropic,Claude Opus 4.6,summarization,665479,213457,20.4473,1300
262ae4ff-c23d-49be-90fb-225767b2c79e,2026-02-27 07:32:00,Support,sup_015,Mistral,Mistral Large 3,code-gen,20068,5743,0.11,800
ff6022f0-16ed-434d-9ae6-e855683d2005,2026-02-27 08:55:00,HR,hr_003,Meta,Llama 4 Scout,chat,4622,2224,0.0027,600
707a335b-1629-412e-802b-c7db100ba9b7,2026-02-27 14:46:00,Finance,fin_003,DeepSeek,DeepSeek V4 Pro,completion,1804,8894,0.028,1300
4e3b62c0-d504-470e-baf4-51457cdda2f7,2026-02-27 15:46:00,Sales,sal_007,OpenAI,GPT-5.4 Pro,chat,7280,4078,0.4176,1800
8b614973-6d8f-4bcb-ad15-0c51586fa75f,2026-02-27 18:34:00,Marketing,mar_011,Google,Gemini 3 Deep Think,embedding,535,0,0.0042,3500
6dad646f-84fb-4810-8bb3-8178bbd4066b,2026-02-28 10:51:00,Product,pro_005,OpenAI,GPT-5 mini,analysis,19966,5246,0.0161,4000
20a9cdfc-7096-4e70-a1be-0396eca79524,2026-02-28 15:49:00,Marketing,mar_011,OpenAI,GPT-5.4,summarization,40604,1846,0.3775,3500
1dc3d181-1307-406b-b8c5-6244c6ed09d8,2026-03-01 16:06:00,Engineering,eng_024,Anthropic,Claude Opus 4.7,analysis,4400562,401505,94.5223,5500
e97ffa91-5876-4e43-bea3-9089e3e50102,2026-03-01 17:42:00,Product,pro_002,OpenAI,GPT-4o,completion,9968,2651,0.0881,4000
60faf319-81c7-4816-8832-b375b99906a8,2026-03-02 12:05:00,Engineering,eng_017,OpenAI,GPT-5.5 Pro,analysis,7058420,191498,230.8276,5500
4aba4e0b-6cf5-4e16-b87b-5ce3dbfe52fa,2026-03-02 18:28:00,Finance,fin_006,xAI,Grok 4.3,code-gen,668871,137747,5.9978,1300
8b65135d-1ebd-478b-91dd-572d0e4b5551,2026-03-03 09:32:00,Marketing,mar_011,Google,Gemini 3 Deep Think,chat,21182,4128,0.2965,3500
89e0d9f1-3a44-4220-82be-647fc0e45143,2026-03-03 10:22:00,Finance,fin_001,Mistral,Mistral Large 3,analysis,9533944,282887,30.6297,1300
baa27899-4522-437c-b196-a625c0ad15e8,2026-03-03 10:53:00,Engineering,eng_023,Anthropic,Claude Opus 4.7,completion,3181,7454,0.5967,5500
0faf0ef5-cbce-4465-9166-29259d263369,2026-03-03 13:58:00,Marketing,mar_003,OpenAI,GPT-5.3-Codex,summarization,27516,1633,0.2009,3500
189529b2-0c1a-40ab-b40d-077db3ea951e,2026-03-03 17:56:00,Sales,sal_009,Anthropic,Claude Opus 4.7,analysis,7816,4566,0.452,1800
152c7469-1590-445e-8347-9dd35346cb59,2026-03-04 08:24:00,Engineering,eng_001,Google,Gemini 3 Deep Think,chat,2597,462,0.035,5500
03ff2f8b-40c4-4ef9-b3c8-b990370d2e6b,2026-03-04 19:42:00,Support,sup_021,Google,Gemini 3 Pro,chat,2747,1115,0.0177,800
f15811bf-248b-4b18-be9c-2f62f8fbb6b4,2026-03-05 09:35:00,Product,pro_010,OpenAI,GPT-5.4 Pro,summarization,5652758,288888,120.511,4000
0b93c715-968e-41d0-b44c-9f5ddf474620,2026-03-05 10:48:00,Finance,fin_001,Amazon,Nova Act,summarization,10572,3592,0.0074,1300
e4c86645-1589-41b3-ba80-9a8f041d6e9d,2026-03-05 11:46:00,Engineering,eng_004,Anthropic,Claude Opus 4.6,code-gen,252661,617745,39.4296,5500
d4eabfcb-e38d-4824-afad-b8a21688500e,2026-03-05 15:07:00,Engineering,eng_003,Google,Gemini 3 Pro,summarization,10000000,363453,28.1582,5500
e4f595e5-b9ab-40f9-a880-ed1aa5094f57,2026-03-05 17:33:00,Finance,fin_007,OpenAI,GPT-5.4,summarization,93802,1136,0.7737,1300
